FUND TYPE	FUND CODE	DEPARTMENT CODE	ORGANIZATION CODE	DIVISION CODE	SECTION CODE	SUBSECTION CODE	SCHEDULE	TITLE CODE	TITLE DESCRIPTION	FUND NAME	DEPARTMENT	DEPARTMENT NAME	DIVISION NAME	SECTION NAME	SUBSECTION NAME	BUDGETED UNIT	TOTAL BUDGETED UNITS	POSITION CONTROL	BUDGETED PAY RATE	TOTAL BUDGETED AMOUNT
Local	740	85	1005	2015	3015	"4,416"	B	2905	Coordinator of Grants Management	O'HARE REVENUE FUND	DEPARTMENT OF AVIATION	DEPARTMENT OF AVIATION	Chicago-O'Hare International Airport	Chicago-O'Hare International Airport	Compliance	Annual	1	1	88872	88872
Local	740	85	1005	2015	3015	"4,416"	1	9679	Deputy Commissioner	O'HARE REVENUE FUND	DEPARTMENT OF AVIATION	DEPARTMENT OF AVIATION	Chicago-O'Hare International Airport	Chicago-O'Hare International Airport	Compliance	Annual	1	1	110880	110880
Local	740	85	1005	2015	3015	"4,417"	3	311	Projects Administrator	O'HARE REVENUE FUND	DEPARTMENT OF AVIATION	DEPARTMENT OF AVIATION	Chicago-O'Hare International Airport	Chicago-O'Hare International Airport	Design and Construction	Annual	1	1	73020	73020
Local	740	85	1005	2015	3015	"4,417"	3	311	Projects Administrator	O'HARE REVENUE FUND	DEPARTMENT OF AVIATION	DEPARTMENT OF AVIATION	Chicago-O'Hare International Airport	Chicago-O'Hare International Airport	Design and Construction	Annual	1	1	85812	85812
Local	740	85	1005	2015	3015	"4,417"	3	311	Projects Administrator	O'HARE REVENUE FUND	DEPARTMENT OF AVIATION	DEPARTMENT OF AVIATION	Chicago-O'Hare International Airport	Chicago-O'Hare International Airport	Design and Construction	Annual	1	1	96456	96456
Local	740	85	1005	2015	3015	"4,417"	3	311	Projects Administrator	O'HARE REVENUE FUND	DEPARTMENT OF AVIATION	DEPARTMENT OF AVIATION	Chicago-O'Hare International Airport	Chicago-O'Hare International Airport	Design and Construction	Annual	1	1	104328	104328
Local	740	85	1005	2015	3015	"4,417"	BX	318	Assistant to the Commissioner	O'HARE REVENUE FUND	DEPARTMENT OF AVIATION	DEPARTMENT OF AVIATION	Chicago-O'Hare International Airport	Chicago-O'Hare International Airport	Design and Construction	Annual	1	1	67224	67224
Local	740	85	1005	2015	3015	"4,417"	1	9813	Managing Deputy Commissioner	O'HARE REVENUE FUND	DEPARTMENT OF AVIATION	DEPARTMENT OF AVIATION	Chicago-O'Hare International Airport	Chicago-O'Hare International Airport	Design and Construction	Annual	1	1	130380	130380
Local	740	85	1005	2015	3015	"4,420"	1	15	Schedule Salary Adjustments	O'HARE REVENUE FUND	DEPARTMENT OF AVIATION	DEPARTMENT OF AVIATION	Chicago-O'Hare International Airport	Chicago-O'Hare International Airport	Planning	Annual	0	0	1664	1664
Local	740	85	1005	2015	3015	"4,420"	BX	308	Staff Assistant	O'HARE REVENUE FUND	DEPARTMENT OF AVIATION	DEPARTMENT OF AVIATION	Chicago-O'Hare International Airport	Chicago-O'Hare International Airport	Planning	Annual	1	1	64152	64152
Local	740	85	1005	2015	3015	"4,420"	3	311	Projects Administrator	O'HARE REVENUE FUND	DEPARTMENT OF AVIATION	DEPARTMENT OF AVIATION	Chicago-O'Hare International Airport	Chicago-O'Hare International Airport	Planning	Annual	1	1	64776	64776
Local	740	85	1005	2015	3015	"4,420"	3	311	Projects Administrator	O'HARE REVENUE FUND	DEPARTMENT OF AVIATION	DEPARTMENT OF AVIATION	Chicago-O'Hare International Airport	Chicago-O'Hare International Airport	Planning	Annual	1	1	71088	71088
Local	740	85	1005	2015	3015	"4,420"	3	1440	Coordinating Planner II	O'HARE REVENUE FUND	DEPARTMENT OF AVIATION	DEPARTMENT OF AVIATION	Chicago-O'Hare International Airport	Chicago-O'Hare International Airport	Planning	Annual	1	1	103740	103740
Local	740	85	1005	2015	3015	"4,420"	1	9679	Deputy Commissioner	O'HARE REVENUE FUND	DEPARTMENT OF AVIATION	DEPARTMENT OF AVIATION	Chicago-O'Hare International Airport	Chicago-O'Hare International Airport	Planning	Annual	1	1	119256	119256
Local	740	85	1005	2015	3015	"4,430"	1	15	Schedule Salary Adjustments	O'HARE REVENUE FUND	DEPARTMENT OF AVIATION	DEPARTMENT OF AVIATION	Chicago-O'Hare International Airport	Chicago-O'Hare International Airport	Property Management	Annual	0	0	1841	1841
Local	740	85	1005	2015	3015	"4,430"	3	311	Projects Administrator	O'HARE REVENUE FUND	DEPARTMENT OF AVIATION	DEPARTMENT OF AVIATION	Chicago-O'Hare International Airport	Chicago-O'Hare International Airport	Property Management	Annual	1	1	66720	66720
Local	740	85	1005	2015	3015	"4,430"	3	1440	Coordinating Planner II	O'HARE REVENUE FUND	DEPARTMENT OF AVIATION	DEPARTMENT OF AVIATION	Chicago-O'Hare International Airport	Chicago-O'Hare International Airport	Property Management	Annual	1	1	102024	102024
Local	740	85	1005	2015	3015	"4,430"	BX	1665	Chief Leasing Agent	O'HARE REVENUE FUND	DEPARTMENT OF AVIATION	DEPARTMENT OF AVIATION	Chicago-O'Hare International Airport	Chicago-O'Hare International Airport	Property Management	Annual	1	1	80916	80916
Local	740	85	1005	2015	3015	"4,430"	BX	1912	Project Coordinator	O'HARE REVENUE FUND	DEPARTMENT OF AVIATION	DEPARTMENT OF AVIATION	Chicago-O'Hare International Airport	Chicago-O'Hare International Airport	Property Management	Annual	1	1	67224	67224
Local	740	85	1005	2015	3015	"4,430"	1	9679	Deputy Commissioner	O'HARE REVENUE FUND	DEPARTMENT OF AVIATION	DEPARTMENT OF AVIATION	Chicago-O'Hare International Airport	Chicago-O'Hare International Airport	Property Management	Annual	1	1	110004	110004
Local	740	85	1005	2015	3015	"4,430"	1	9813	Managing Deputy Commissioner	O'HARE REVENUE FUND	DEPARTMENT OF AVIATION	DEPARTMENT OF AVIATION	Chicago-O'Hare International Airport	Chicago-O'Hare International Airport	Property Management	Annual	1	1	130008	130008
Local	740	85	1005	2015	3015	"4,510"	1	15	Schedule Salary Adjustments	O'HARE REVENUE FUND	DEPARTMENT OF AVIATION	DEPARTMENT OF AVIATION	Chicago-O'Hare International Airport	Chicago-O'Hare International Airport	Legal/Government Affairs	Annual	0	0	2916	2916
Local	740	85	1005	2015	3015	"4,510"	BX	308	Staff Assistant	O'HARE REVENUE FUND	DEPARTMENT OF AVIATION	DEPARTMENT OF AVIATION	Chicago-O'Hare International Airport	Chicago-O'Hare International Airport	Legal/Government Affairs	Annual	1	1	63276	63276
Local	740	85	1005	2015	3015	"4,510"	3	313	Assistant Commissioner	O'HARE REVENUE FUND	DEPARTMENT OF AVIATION	DEPARTMENT OF AVIATION	Chicago-O'Hare International Airport	Chicago-O'Hare International Airport	Legal/Government Affairs	Annual	1	1	95808	95808
Local	740	85	1005	2015	3015	"4,510"	3	313	Assistant Commissioner	O'HARE REVENUE FUND	DEPARTMENT OF AVIATION	DEPARTMENT OF AVIATION	Chicago-O'Hare International Airport	Chicago-O'Hare International Airport	Legal/Government Affairs	Annual	1	1	101700	101700
Local	740	85	1005	2015	3015	"4,510"	BX	320	Assistant to the Commissioner	O'HARE REVENUE FUND	DEPARTMENT OF AVIATION	DEPARTMENT OF AVIATION	Chicago-O'Hare International Airport	Chicago-O'Hare International Airport	Legal/Government Affairs	Annual	1	1	70380	70380
Local	740	85	1005	2015	3015	"4,510"	G	2989	Grants Research Specialist	O'HARE REVENUE FUND	DEPARTMENT OF AVIATION	DEPARTMENT OF AVIATION	Chicago-O'Hare International Airport	Chicago-O'Hare International Airport	Legal/Government Affairs	Annual	1	1	63216	63216
Local	740	85	1005	2015	3015	"4,510"	BX	7090	Administrative Assistant - O'Hare	O'HARE REVENUE FUND	DEPARTMENT OF AVIATION	DEPARTMENT OF AVIATION	Chicago-O'Hare International Airport	Chicago-O'Hare International Airport	Legal/Government Affairs	Annual	1	1	59796	59796
Local	740	85	1005	2015	3015	"4,510"	1	9813	Managing Deputy Commissioner	O'HARE REVENUE FUND	DEPARTMENT OF AVIATION	DEPARTMENT OF AVIATION	Chicago-O'Hare International Airport	Chicago-O'Hare International Airport	Legal/Government Affairs	Annual	1	1	148488	148488
Local	740	85	1005	2015	3015	"4,606"	1	15	Schedule Salary Adjustments	O'HARE REVENUE FUND	DEPARTMENT OF AVIATION	DEPARTMENT OF AVIATION	Chicago-O'Hare International Airport	Chicago-O'Hare International Airport	Airfield Operations	Annual	0	0	36698	36698
Local	740	85	1005	2015	3015	"4,606"	B	303	Administrative Assistant III	O'HARE REVENUE FUND	DEPARTMENT OF AVIATION	DEPARTMENT OF AVIATION	Chicago-O'Hare International Airport	Chicago-O'Hare International Airport	Airfield Operations	Annual	1	1	43836	43836
Local	740	85	1005	2015	3015	"4,606"	BX	810	Executive Secretary II	O'HARE REVENUE FUND	DEPARTMENT OF AVIATION	DEPARTMENT OF AVIATION	Chicago-O'Hare International Airport	Chicago-O'Hare International Airport	Airfield Operations	Annual	1	1	52536	52536
Local	740	85	1005	2015	3015	"4,606"	V	7010	Airport Operations Supervisor I	O'HARE REVENUE FUND	DEPARTMENT OF AVIATION	DEPARTMENT OF AVIATION	Chicago-O'Hare International Airport	Chicago-O'Hare International Airport	Airfield Operations	Annual	8	1	52824	422592
Local	740	85	1005	2015	3015	"4,606"	V	7010	Airport Operations Supervisor I	O'HARE REVENUE FUND	DEPARTMENT OF AVIATION	DEPARTMENT OF AVIATION	Chicago-O'Hare International Airport	Chicago-O'Hare International Airport	Airfield Operations	Annual	6	1	60708	364248
Local	740	85	1005	2015	3015	"4,606"	V	7010	Airport Operations Supervisor I	O'HARE REVENUE FUND	DEPARTMENT OF AVIATION	DEPARTMENT OF AVIATION	Chicago-O'Hare International Airport	Chicago-O'Hare International Airport	Airfield Operations	Annual	4	1	63588	254352
Local	740	85	1005	2015	3015	"4,606"	V	7010	Airport Operations Supervisor I	O'HARE REVENUE FUND	DEPARTMENT OF AVIATION	DEPARTMENT OF AVIATION	Chicago-O'Hare International Airport	Chicago-O'Hare International Airport	Airfield Operations	Annual	3	1	67296	201888
Local	740	85	1005	2015	3015	"4,606"	V	7010	Airport Operations Supervisor I	O'HARE REVENUE FUND	DEPARTMENT OF AVIATION	DEPARTMENT OF AVIATION	Chicago-O'Hare International Airport	Chicago-O'Hare International Airport	Airfield Operations	Annual	1	1	70464	70464
Local	740	85	1005	2015	3015	"4,606"	V	7010	Airport Operations Supervisor I	O'HARE REVENUE FUND	DEPARTMENT OF AVIATION	DEPARTMENT OF AVIATION	Chicago-O'Hare International Airport	Chicago-O'Hare International Airport	Airfield Operations	Annual	1	1	73848	73848
Local	740	85	1005	2015	3015	"4,606"	V	7010	Airport Operations Supervisor I	O'HARE REVENUE FUND	DEPARTMENT OF AVIATION	DEPARTMENT OF AVIATION	Chicago-O'Hare International Airport	Chicago-O'Hare International Airport	Airfield Operations	Annual	1	1	77292	77292
Local	740	85	1005	2015	3015	"4,606"	3	7020	General Manager of Airport Operations	O'HARE REVENUE FUND	DEPARTMENT OF AVIATION	DEPARTMENT OF AVIATION	Chicago-O'Hare International Airport	Chicago-O'Hare International Airport	Airfield Operations	Annual	1	1	106884	106884
Local	740	85	1005	2015	3015	"4,606"	V	7021	Airport Operations Supervisor II	O'HARE REVENUE FUND	DEPARTMENT OF AVIATION	DEPARTMENT OF AVIATION	Chicago-O'Hare International Airport	Chicago-O'Hare International Airport	Airfield Operations	Annual	4	1	57948	231792
Local	740	85	1005	2015	3015	"4,606"	V	7021	Airport Operations Supervisor II	O'HARE REVENUE FUND	DEPARTMENT OF AVIATION	DEPARTMENT OF AVIATION	Chicago-O'Hare International Airport	Chicago-O'Hare International Airport	Airfield Operations	Annual	1	1	69756	69756
Local	740	85	1005	2015	3015	"4,606"	V	7021	Airport Operations Supervisor II	O'HARE REVENUE FUND	DEPARTMENT OF AVIATION	DEPARTMENT OF AVIATION	Chicago-O'Hare International Airport	Chicago-O'Hare International Airport	Airfield Operations	Annual	2	1	73848	147696
Local	740	85	1005	2015	3015	"4,606"	V	7021	Airport Operations Supervisor II	O'HARE REVENUE FUND	DEPARTMENT OF AVIATION	DEPARTMENT OF AVIATION	Chicago-O'Hare International Airport	Chicago-O'Hare International Airport	Airfield Operations	Annual	3	1	77292	231876
Local	740	85	1005	2015	3015	"4,606"	V	7021	Airport Operations Supervisor II	O'HARE REVENUE FUND	DEPARTMENT OF AVIATION	DEPARTMENT OF AVIATION	Chicago-O'Hare International Airport	Chicago-O'Hare International Airport	Airfield Operations	Annual	1	1	81000	81000
Local	740	85	1005	2015	3015	"4,606"	V	7021	Airport Operations Supervisor II	O'HARE REVENUE FUND	DEPARTMENT OF AVIATION	DEPARTMENT OF AVIATION	Chicago-O'Hare International Airport	Chicago-O'Hare International Airport	Airfield Operations	Annual	1	1	88872	88872
Local	740	85	1005	2015	3015	"4,606"	V	7021	Airport Operations Supervisor II	O'HARE REVENUE FUND	DEPARTMENT OF AVIATION	DEPARTMENT OF AVIATION	Chicago-O'Hare International Airport	Chicago-O'Hare International Airport	Airfield Operations	Annual	1	1	93120	93120
Local	740	85	1005	2015	3015	"4,606"	V	7021	Airport Operations Supervisor II	O'HARE REVENUE FUND	DEPARTMENT OF AVIATION	DEPARTMENT OF AVIATION	Chicago-O'Hare International Airport	Chicago-O'Hare International Airport	Airfield Operations	Annual	2	1	97536	195072
Local	740	85	1005	2015	3015	"4,606"	V	7025	Assistant Chief Airport Operations Supervisor	O'HARE REVENUE FUND	DEPARTMENT OF AVIATION	DEPARTMENT OF AVIATION	Chicago-O'Hare International Airport	Chicago-O'Hare International Airport	Airfield Operations	Annual	2	1	93120	186240
Local	740	85	1005	2015	3015	"4,606"	V	7025	Assistant Chief Airport Operations Supervisor	O'HARE REVENUE FUND	DEPARTMENT OF AVIATION	DEPARTMENT OF AVIATION	Chicago-O'Hare International Airport	Chicago-O'Hare International Airport	Airfield Operations	Annual	1	1	107004	107004
Local	740	85	1005	2015	3015	"4,606"	BX	7026	Chief Airport Operations Supervisor	O'HARE REVENUE FUND	DEPARTMENT OF AVIATION	DEPARTMENT OF AVIATION	Chicago-O'Hare International Airport	Chicago-O'Hare International Airport	Airfield Operations	Annual	1	1	63516	63516
Local	740	85	1005	2015	3015	"4,606"	BX	7026	Chief Airport Operations Supervisor	O'HARE REVENUE FUND	DEPARTMENT OF AVIATION	DEPARTMENT OF AVIATION	Chicago-O'Hare International Airport	Chicago-O'Hare International Airport	Airfield Operations	Annual	1	1	102060	102060
Local	740	85	1005	2015	3015	"4,606"	BX	7026	Chief Airport Operations Supervisor	O'HARE REVENUE FUND	DEPARTMENT OF AVIATION	DEPARTMENT OF AVIATION	Chicago-O'Hare International Airport	Chicago-O'Hare International Airport	Airfield Operations	Annual	1	1	106884	106884
Local	740	85	1005	2015	3015	"4,606"	1	9679	Deputy Commissioner	O'HARE REVENUE FUND	DEPARTMENT OF AVIATION	DEPARTMENT OF AVIATION	Chicago-O'Hare International Airport	Chicago-O'Hare International Airport	Airfield Operations	Annual	1	1	103008	103008
Local	740	85	1005	2015	3015	"4,606"	1	9813	Managing Deputy Commissioner	O'HARE REVENUE FUND	DEPARTMENT OF AVIATION	DEPARTMENT OF AVIATION	Chicago-O'Hare International Airport	Chicago-O'Hare International Airport	Airfield Operations	Annual	1	1	135684	135684
Local	740	85	1005	2015	3015	"4,626"	B	303	Administrative Assistant III	O'HARE REVENUE FUND	DEPARTMENT OF AVIATION	DEPARTMENT OF AVIATION	Chicago-O'Hare International Airport	Chicago-O'Hare International Airport	Vehicle Operations	Annual	1	1	61308	61308
Local	740	85	1005	2015	3015	"4,626"	3	313	Assistant Commissioner	O'HARE REVENUE FUND	DEPARTMENT OF AVIATION	DEPARTMENT OF AVIATION	Chicago-O'Hare International Airport	Chicago-O'Hare International Airport	Vehicle Operations	Annual	1	1	93912	93912
Local	740	85	1005	2015	3015	"4,626"	3	7015	Airport Manager - O'Hare	O'HARE REVENUE FUND	DEPARTMENT OF AVIATION	DEPARTMENT OF AVIATION	Chicago-O'Hare International Airport	Chicago-O'Hare International Airport	Vehicle Operations	Annual	1	1	89364	89364
Local	740	85	1005	2015	3015	"4,626"	3	7047	Manager Vehicle Maintenance	O'HARE REVENUE FUND	DEPARTMENT OF AVIATION	DEPARTMENT OF AVIATION	Chicago-O'Hare International Airport	Chicago-O'Hare International Airport	Vehicle Operations	Annual	1	1	80904	80904
Local	740	85	1005	2015	3015	"4,626"	2	7123	Equipment Training Specialist - MTD	O'HARE REVENUE FUND	DEPARTMENT OF AVIATION	DEPARTMENT OF AVIATION	Chicago-O'Hare International Airport	Chicago-O'Hare International Airport	Vehicle Operations	Monthly	1	1	6214	74568
Local	740	85	1005	2015	3015	"4,626"	2	7124	Equipment Dispatcher	O'HARE REVENUE FUND	DEPARTMENT OF AVIATION	DEPARTMENT OF AVIATION	Chicago-O'Hare International Airport	Chicago-O'Hare International Airport	Vehicle Operations	Hourly	7	1	34	501446
Local	740	85	1005	2015	3015	"4,626"	2	7183	Motor Truck Driver	O'HARE REVENUE FUND	DEPARTMENT OF AVIATION	DEPARTMENT OF AVIATION	Chicago-O'Hare International Airport	Chicago-O'Hare International Airport	Vehicle Operations	Hourly	121	1	34	8519368
Local	740	85	1005	2015	3015	"4,626"	2	7183	Motor Truck Driver	O'HARE REVENUE FUND	DEPARTMENT OF AVIATION	DEPARTMENT OF AVIATION	Chicago-O'Hare International Airport	Chicago-O'Hare International Airport	Vehicle Operations	Hourly	0	0	34	0
Local	740	85	1005	2015	3015	"4,626"	2	7183	Motor Truck Driver	O'HARE REVENUE FUND	DEPARTMENT OF AVIATION	DEPARTMENT OF AVIATION	Chicago-O'Hare International Airport	Chicago-O'Hare International Airport	Vehicle Operations	Hourly	1	1	34	71469
Local	740	85	1005	2015	3015	"4,626"	2	7184	Pool Motor Truck Driver	O'HARE REVENUE FUND	DEPARTMENT OF AVIATION	DEPARTMENT OF AVIATION	Chicago-O'Hare International Airport	Chicago-O'Hare International Airport	Vehicle Operations	Hourly	"77,000"	0	27	2085160
Local	740	85	1005	2015	3015	"4,626"	2	7184	Pool Motor Truck Driver	O'HARE REVENUE FUND	DEPARTMENT OF AVIATION	DEPARTMENT OF AVIATION	Chicago-O'Hare International Airport	Chicago-O'Hare International Airport	Vehicle Operations	Hourly	"154,000"	0	30	4692380
Local	740	85	1005	2015	3015	"4,626"	2	7185	Foreman of Motor Truck Drivers	O'HARE REVENUE FUND	DEPARTMENT OF AVIATION	DEPARTMENT OF AVIATION	Chicago-O'Hare International Airport	Chicago-O'Hare International Airport	Vehicle Operations	Hourly	7	1	36	519938
Local	740	85	1005	2015	3015	"4,626"	2	7633	Hoisting Engineer	O'HARE REVENUE FUND	DEPARTMENT OF AVIATION	DEPARTMENT OF AVIATION	Chicago-O'Hare International Airport	Chicago-O'Hare International Airport	Vehicle Operations	Hourly	4	1	45	375232
Local	740	85	1005	2015	3015	"4,700"	1	15	Schedule Salary Adjustments	O'HARE REVENUE FUND	DEPARTMENT OF AVIATION	DEPARTMENT OF AVIATION	Chicago-O'Hare International Airport	Chicago-O'Hare International Airport	Administration Facilities	Annual	0	0	12948	12948
Local	740	85	1005	2015	3015	"4,700"	B	302	Administrative Assistant II	O'HARE REVENUE FUND	DEPARTMENT OF AVIATION	DEPARTMENT OF AVIATION	Chicago-O'Hare International Airport	Chicago-O'Hare International Airport	Administration Facilities	Annual	1	1	55872	55872
Local	740	85	1005	2015	3015	"4,700"	B	303	Administrative Assistant III	O'HARE REVENUE FUND	DEPARTMENT OF AVIATION	DEPARTMENT OF AVIATION	Chicago-O'Hare International Airport	Chicago-O'Hare International Airport	Administration Facilities	Annual	2	1	61308	122616
Local	740	85	1005	2015	3015	"4,700"	BX	308	Staff Assistant	O'HARE REVENUE FUND	DEPARTMENT OF AVIATION	DEPARTMENT OF AVIATION	Chicago-O'Hare International Airport	Chicago-O'Hare International Airport	Administration Facilities	Annual	1	1	60408	60408
Local	740	85	1005	2015	3015	"4,700"	BX	309	Coordinator of Special Projects	O'HARE REVENUE FUND	DEPARTMENT OF AVIATION	DEPARTMENT OF AVIATION	Chicago-O'Hare International Airport	Chicago-O'Hare International Airport	Administration Facilities	Annual	1	1	59796	59796
Local	740	85	1005	2015	3015	"4,700"	BX	309	Coordinator of Special Projects	O'HARE REVENUE FUND	DEPARTMENT OF AVIATION	DEPARTMENT OF AVIATION	Chicago-O'Hare International Airport	Chicago-O'Hare International Airport	Administration Facilities	Annual	1	1	84780	84780
Local	740	85	1005	2015	3015	"4,700"	3	311	Projects Administrator	O'HARE REVENUE FUND	DEPARTMENT OF AVIATION	DEPARTMENT OF AVIATION	Chicago-O'Hare International Airport	Chicago-O'Hare International Airport	Administration Facilities	Annual	1	1	89364	89364
Local	740	85	1005	2015	3015	"4,700"	3	313	Assistant Commissioner	O'HARE REVENUE FUND	DEPARTMENT OF AVIATION	DEPARTMENT OF AVIATION	Chicago-O'Hare International Airport	Chicago-O'Hare International Airport	Administration Facilities	Annual	1	1	99108	99108
Local	740	85	1005	2015	3015	"4,700"	BX	318	Assistant to the Commissioner	O'HARE REVENUE FUND	DEPARTMENT OF AVIATION	DEPARTMENT OF AVIATION	Chicago-O'Hare International Airport	Chicago-O'Hare International Airport	Administration Facilities	Annual	1	1	88812	88812
Local	740	85	1005	2015	3015	"4,700"	BX	323	Administrative Assistant III - Excluded	O'HARE REVENUE FUND	DEPARTMENT OF AVIATION	DEPARTMENT OF AVIATION	Chicago-O'Hare International Airport	Chicago-O'Hare International Airport	Administration Facilities	Annual	1	1	55044	55044
Local	740	85	1005	2015	3015	"4,700"	B	665	Senior Data Entry Operator	O'HARE REVENUE FUND	DEPARTMENT OF AVIATION	DEPARTMENT OF AVIATION	Chicago-O'Hare International Airport	Chicago-O'Hare International Airport	Administration Facilities	Annual	2	1	53340	106680
Local	740	85	1005	2015	3015	"4,700"	3	5424	Supervising Architect	O'HARE REVENUE FUND	DEPARTMENT OF AVIATION	DEPARTMENT OF AVIATION	Chicago-O'Hare International Airport	Chicago-O'Hare International Airport	Administration Facilities	Annual	1	1	97728	97728
Local	740	85	1005	2015	3015	"4,700"	G	5613	Civil Engineer III	O'HARE REVENUE FUND	DEPARTMENT OF AVIATION	DEPARTMENT OF AVIATION	Chicago-O'Hare International Airport	Chicago-O'Hare International Airport	Administration Facilities	Annual	1	1	88140	88140
Local	740	85	1005	2015	3015	"4,700"	G	5614	Civil Engineer IV	O'HARE REVENUE FUND	DEPARTMENT OF AVIATION	DEPARTMENT OF AVIATION	Chicago-O'Hare International Airport	Chicago-O'Hare International Airport	Administration Facilities	Annual	1	1	96276	96276
Local	740	85	1005	2015	3015	"4,700"	3	7020	General Manager of Airport Operations	O'HARE REVENUE FUND	DEPARTMENT OF AVIATION	DEPARTMENT OF AVIATION	Chicago-O'Hare International Airport	Chicago-O'Hare International Airport	Administration Facilities	Annual	1	1	99696	99696
Local	740	85	1005	2015	3015	"4,700"	3	7020	General Manager of Airport Operations	O'HARE REVENUE FUND	DEPARTMENT OF AVIATION	DEPARTMENT OF AVIATION	Chicago-O'Hare International Airport	Chicago-O'Hare International Airport	Administration Facilities	Annual	1	1	109032	109032
Local	740	85	1005	2015	3015	"4,700"	3	7023	General Manager of Grounds and Terminal Facilities	O'HARE REVENUE FUND	DEPARTMENT OF AVIATION	DEPARTMENT OF AVIATION	Chicago-O'Hare International Airport	Chicago-O'Hare International Airport	Administration Facilities	Annual	1	1	106884	106884
Local	740	85	1005	2015	3015	"4,818"	B	430	Clerk III	O'HARE REVENUE FUND	DEPARTMENT OF AVIATION	DEPARTMENT OF AVIATION	Chicago-O'Hare International Airport	Chicago-O'Hare International Airport	ID Badging	Annual	1	1	42264	42264
Local	740	85	1005	2015	3015	"4,700"	BX	7024	Coordinator of Maintenance Repairs	O'HARE REVENUE FUND	DEPARTMENT OF AVIATION	DEPARTMENT OF AVIATION	Chicago-O'Hare International Airport	Chicago-O'Hare International Airport	Administration Facilities	Annual	1	1	49668	49668
Local	740	85	1005	2015	3015	"4,700"	BX	7027	Construction Coordinator	O'HARE REVENUE FUND	DEPARTMENT OF AVIATION	DEPARTMENT OF AVIATION	Chicago-O'Hare International Airport	Chicago-O'Hare International Airport	Administration Facilities	Annual	1	1	88812	88812
Local	740	85	1005	2015	3015	"4,700"	BX	7027	Construction Coordinator	O'HARE REVENUE FUND	DEPARTMENT OF AVIATION	DEPARTMENT OF AVIATION	Chicago-O'Hare International Airport	Chicago-O'Hare International Airport	Administration Facilities	Annual	1	1	93024	93024
Local	740	85	1005	2015	3015	"4,700"	3	7046	Manager-O'Hare Maintenance Control Center	O'HARE REVENUE FUND	DEPARTMENT OF AVIATION	DEPARTMENT OF AVIATION	Chicago-O'Hare International Airport	Chicago-O'Hare International Airport	Administration Facilities	Annual	1	1	103740	103740
Local	740	85	1005	2015	3015	"4,700"	BX	7099	Airport Facilities Manager	O'HARE REVENUE FUND	DEPARTMENT OF AVIATION	DEPARTMENT OF AVIATION	Chicago-O'Hare International Airport	Chicago-O'Hare International Airport	Administration Facilities	Annual	3	1	63516	190548
Local	740	85	1005	2015	3015	"4,700"	BX	7099	Airport Facilities Manager	O'HARE REVENUE FUND	DEPARTMENT OF AVIATION	DEPARTMENT OF AVIATION	Chicago-O'Hare International Airport	Chicago-O'Hare International Airport	Administration Facilities	Annual	2	1	73020	146040
Local	740	85	1005	2015	3015	"4,700"	BX	7099	Airport Facilities Manager	O'HARE REVENUE FUND	DEPARTMENT OF AVIATION	DEPARTMENT OF AVIATION	Chicago-O'Hare International Airport	Chicago-O'Hare International Airport	Administration Facilities	Annual	1	1	97416	97416
Local	740	85	1005	2015	3015	"4,700"	1	9679	Deputy Commissioner	O'HARE REVENUE FUND	DEPARTMENT OF AVIATION	DEPARTMENT OF AVIATION	Chicago-O'Hare International Airport	Chicago-O'Hare International Airport	Administration Facilities	Annual	1	1	119256	119256
Local	740	85	1005	2015	3015	"4,707"	2	5035	Electrical Mechanic	O'HARE REVENUE FUND	DEPARTMENT OF AVIATION	DEPARTMENT OF AVIATION	Chicago-O'Hare International Airport	Chicago-O'Hare International Airport	HVAC Plant	Hourly	9	1	40	756288
Local	740	85	1005	2015	3015	"4,707"	2	5040	Foreman of Electrical Mechanics	O'HARE REVENUE FUND	DEPARTMENT OF AVIATION	DEPARTMENT OF AVIATION	Chicago-O'Hare International Airport	Chicago-O'Hare International Airport	HVAC Plant	Hourly	3	1	43	268320
Local	740	85	1005	2015	3015	"4,707"	2	7741	"Operating Engineer, Group C"	O'HARE REVENUE FUND	DEPARTMENT OF AVIATION	DEPARTMENT OF AVIATION	Chicago-O'Hare International Airport	Chicago-O'Hare International Airport	HVAC Plant	Hourly	54	1	40	4462474
Local	740	85	1005	2015	3015	"4,707"	2	7743	"Operating Engineer, Group A"	O'HARE REVENUE FUND	DEPARTMENT OF AVIATION	DEPARTMENT OF AVIATION	Chicago-O'Hare International Airport	Chicago-O'Hare International Airport	HVAC Plant	Hourly	39	1	42	3392438
Local	740	85	1005	2015	3015	"4,707"	2	7745	Assistant Chief Operating Engineer	O'HARE REVENUE FUND	DEPARTMENT OF AVIATION	DEPARTMENT OF AVIATION	Chicago-O'Hare International Airport	Chicago-O'Hare International Airport	HVAC Plant	Hourly	12	1	46	1148160
Local	740	85	1005	2015	3015	"4,707"	2	7747	Chief Operating Engineer	O'HARE REVENUE FUND	DEPARTMENT OF AVIATION	DEPARTMENT OF AVIATION	Chicago-O'Hare International Airport	Chicago-O'Hare International Airport	HVAC Plant	Monthly	1	1	8698	104374
